,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
591,UBERON:UBERON_0001242,2,0.013420495056109209,1532,intestinal mucosa
592,UBERON:UBERON_0002331,2,0.00865127282784795,2276,umbilical cord
593,UBERON:UBERON_0014554,2,0.03124287370789366,349,CA1 stratum radiatum
594,UBERON:UBERON_0001255,2,0.01577546313267563,1260,urinary bladder
595,UBERON:UBERON_0002102,2,0.00450098029989095,3212,forelimb
596,UBERON:UBERON_0002100,2,0.016504685065059404,1186,trunk
597,UBERON:UBERON_0001018,2,0.022908976255386473,697,axon tract
598,UBERON:UBERON_0002317,2,0.022568127703108204,717,white matter of cerebellum
599,UBERON:UBERON_0000376,2,0.008924316209123623,2225,hindlimb stylopod
600,UBERON:UBERON_0001463,2,0.009376728246795472,2143,manual digit 1
601,UBERON:UBERON_0001466,2,0.011498271724988459,1797,pedal digit
602,UBERON:UBERON_0001467,2,0.0016131095974435056,4082,shoulder
603,UBERON:UBERON_0001225,2,0.025311340124115556,571,cortex of kidney
604,UBERON:UBERON_0012356,2,0.016026677536051425,1234,pedal acropodium region
605,UBERON:UBERON_0001236,2,0.022652440102959345,712,adrenal medulla
606,UBERON:UBERON_0034773,2,0.036110746823998806,233,uncus of parahippocampal gyrus
607,UBERON:UBERON_0022383,2,0.02057483229339009,846,anterior parahippocampal gyrus
608,UBERON:UBERON_0000112,2,0.04679376202999717,96,sexually immature stage
609,UBERON:UBERON_0000115,2,0.0103725293245179,1973,lung epithelium
610,UBERON:UBERON_0000128,2,0.032064253717962565,326,olivary body
611,UBERON:UBERON_0003631,2,0.03424612498387475,272,pedal digit 1
612,UBERON:UBERON_0000123,2,0.04380778415162872,123,endoneurium
613,UBERON:UBERON_0000363,2,0.01584258415736786,1253,reticuloendothelial system
614,UBERON:UBERON_0001455,2,0.04493652492364466,112,cuboid bone
615,UBERON:UBERON_0013411,2,0.01713016423202368,1126,cranial cavity
616,UBERON:UBERON_0000341,2,-0.0013957390043070688,5240,throat
617,UBERON:UBERON_0001676,2,0.02781139623772706,464,occipital bone
618,UBERON:UBERON_0012424,1,0.010230718350415852,427,brush border layer
619,UBERON:UBERON_0003706,1,0.005652695053028236,913,laryngeal vocal fold
620,UBERON:UBERON_0001527,1,0.031748051865118414,12,abductor pollicis longus
621,UBERON:UBERON_0002616,1,0.009563655231983824,477,regional part of brain
622,UBERON:UBERON_0000439,1,0.021478485044405003,66,arachnoid trabecula
623,UBERON:UBERON_0035785,1,0.021210703342171063,69,telencephalic song nucleus HVC
624,UBERON:UBERON_0001529,1,0.015743492186114434,171,brachiocephalic artery
625,UBERON:UBERON_2000507,1,0.022361638503392203,57,epineural
626,UBERON:UBERON_0013757,1,0.007418800923181587,681,capillary blood
627,UBERON:UBERON_0009005,1,0.024495203646287468,40,femorotibial joint
628,UBERON:UBERON_0014608,1,0.013455556274309695,250,inferior occipital gyrus
629,UBERON:UBERON_0011565,1,0.028376872419724294,21,lumen of gastrointestinal system
630,UBERON:UBERON_0003716,1,0.014563525178893604,208,recurrent laryngeal nerve
631,UBERON:UBERON_0002869,1,0.01753551911409075,127,diffuse reticular nucleus
632,UBERON:UBERON_0002868,1,0.011674530719484648,336,commissural nucleus of vagus nerve
633,UBERON:UBERON_0002626,1,0.011192345733499491,364,head of caudate nucleus
634,UBERON:UBERON_0003718,1,0.01041697159983338,414,muscle spindle
635,UBERON:UBERON_0004801,1,0.014280651786798597,218,cervix epithelium
636,UBERON:UBERON_0004802,1,-0.0004920573726892232,2532,respiratory tract epithelium
637,UBERON:UBERON_0001776,1,0.004973292100204856,1022,optic choroid
638,UBERON:UBERON_0000203,1,0.0153679311585594,182,pallium
639,UBERON:UBERON_0001535,1,0.003561063705151258,1292,vertebral artery
640,UBERON:UBERON_0000446,1,0.011674530719484648,336,septum of telencephalon
641,UBERON:UBERON_0003711,1,0.02070840449314064,75,brachiocephalic vein
642,UBERON:UBERON_0001774,1,0.014739852783111154,202,skeletal muscle of trunk
643,UBERON:UBERON_0003710,1,0.017123062491937374,136,vasa vasorum
644,UBERON:UBERON_0023787,1,0.02268734465562278,54,subicular complex
645,UBERON:UBERON_0022453,1,0.020170867542972308,82,olfactory entorhinal cortex
646,UBERON:UBERON_0009472,1,0.007159101383098884,711,axilla
647,UBERON:UBERON_0010467,1,0.02964981876711711,17,teres muscle
648,UBERON:UBERON_0000415,1,0.004850763881908937,1043,artery wall
649,UBERON:UBERON_0001509,1,0.008438031437351237,575,triceps brachii
650,UBERON:UBERON_0001507,1,0.011045209878035185,373,biceps brachii
651,UBERON:UBERON_0019042,1,0.015958661358416115,165,reproductive system mucosa
652,UBERON:UBERON_0001980,1,0.008111773905651553,607,arteriole
653,UBERON:UBERON_0001744,1,0.0015068746445872573,1817,lymphoid tissue
654,UBERON:UBERON_4200230,1,0.01430834883046504,217,surface of bone
655,UBERON:UBERON_0001983,1,0.013528282667287221,247,crypt of Lieberkuhn
656,UBERON:UBERON_0001500,1,0.01401046765327238,228,muscle of manus
657,UBERON:UBERON_0012649,1,0.0016206665152681651,1783,anococcygeus muscle
658,UBERON:UBERON_0001756,1,0.001044359152243057,1962,middle ear
659,UBERON:UBERON_0001514,1,0.01301428843250492,269,descending aorta
660,UBERON:UBERON_0001999,1,0.014198316613734356,221,iliopsoas
661,UBERON:UBERON_0001757,1,0.00859726792571362,560,pinna
662,UBERON:UBERON_0001751,1,0.012729977038912906,282,dentine
663,UBERON:UBERON_0001754,1,0.007287551801585761,696,dental pulp
664,UBERON:UBERON_0002601,1,0.02732655081041841,25,fasciolar gyrus
665,UBERON:UBERON_0003931,1,0.023396881014998587,48,diencephalic white matter
666,UBERON:UBERON_0003909,1,0.014392212315516894,214,sinusoid
667,UBERON:UBERON_0022425,1,0.011987302148269948,319,anterior corona radiata
668,UBERON:UBERON_0003902,1,0.010118898965716695,435,retinal neural layer
669,UBERON:UBERON_0001964,1,0.022361638503392203,57,least splanchnic nerve
670,UBERON:UBERON_0001722,1,0.013701471903949786,240,medial vestibular nucleus
671,UBERON:UBERON_0001979,1,0.012417777834909374,297,venule
672,UBERON:UBERON_0001737,1,0.001986297423918701,1678,larynx
673,UBERON:UBERON_0035113,1,0.007699463231975743,650,central part of mediodorsal nucleus of the thalamus
674,UBERON:UBERON_0035114,1,0.011377200014845537,353,lateral part of mediodorsal nucleus of the thalamus
675,UBERON:UBERON_0012615,1,0.02930549097290055,18,umbilical smooth muscle
676,UBERON:UBERON_0001703,1,0.022576807675693887,55,neurocranium
677,UBERON:UBERON_0001947,1,0.005806396365490786,890,red nucleus
678,UBERON:UBERON_0001705,1,0.0035750678099907736,1289,nail
679,UBERON:UBERON_0001706,1,0.010132763405405127,434,nasal septum
680,UBERON:UBERON_0001941,1,0.01411709161170251,224,lateral habenular nucleus
681,UBERON:UBERON_0001942,1,0.01802957424457771,117,medial habenular nucleus
682,UBERON:UBERON_0001700,1,0.004747687474600438,1061,geniculate ganglion
683,UBERON:UBERON_0002808,1,0.0030345679278641078,1410,left temporal lobe
684,UBERON:UBERON_0010419,1,0.03836619818239618,4,vibrissa follicle
685,UBERON:UBERON_0001924,1,0.02930549097290055,18,paracentral nucleus
686,UBERON:UBERON_0001922,1,0.016991622447391348,139,parafascicular nucleus
687,UBERON:UBERON_0001927,1,0.00905529744717932,519,medial geniculate body
688,UBERON:UBERON_0001928,1,0.017212309996667133,134,preoptic area
689,UBERON:UBERON_0007225,1,0.015535744137492934,177,lateral entorhinal cortex
690,UBERON:UBERON_0006135,1,0.011360158712433023,354,myelinated nerve fiber
691,UBERON:UBERON_0007224,1,0.009090219842868029,516,medial entorhinal cortex
692,UBERON:UBERON_0006136,1,0.01995440965606831,85,unmyelinated nerve fiber
693,UBERON:UBERON_0004199,1,0.01106138195858138,372,S-shaped body
