,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
0,UBERON:UBERON_2002175,130,0.5313510477969939,153910,rostral octaval nerve motor nucleus
1,UBERON:UBERON_0000955,116,0.7246194857679855,95963,brain
2,UBERON:UBERON_0004529,111,0.4669682749389666,128832,anatomical projection
3,UBERON:UBERON_0001851,102,0.756390480913375,69499,cortex
4,UBERON:UBERON_0013702,96,0.5125819077249718,92327,body proper
5,UBERON:UBERON_0000468,89,0.4420515429119815,91055,multi-cellular organism
6,UBERON:UBERON_0000479,87,0.3763515427673799,99002,simple tissue
7,UBERON:UBERON_0035944,86,0.4051538709622139,91802,life-death temporal boundary
8,UBERON:UBERON_0001359,83,0.5871802868210064,59848,cerebrospinal fluid
9,UBERON:UBERON_0000178,83,0.24814892709373665,117904,blood
10,UBERON:UBERON_0000104,83,0.28081188312549843,110448,life cycle
11,UBERON:UBERON_0001016,76,0.35718793161066026,81279,nervous system
12,UBERON:UBERON_0001969,74,0.5226459306147757,53462,blood plasma
13,UBERON:UBERON_0002542,69,0.22210893170895527,94357,scale
14,UBERON:UBERON_0016482,68,0.9927597731699952,14060,dental plaque
15,UBERON:UBERON_0001932,65,0.3726660228019842,58556,arcuate nucleus of hypothalamus
16,UBERON:UBERON_0007222,64,0.5660578855405841,34398,late adult stage
17,UBERON:UBERON_0001977,60,0.2107243730569852,78153,blood serum
18,UBERON:UBERON_0002398,57,0.2671215210111277,61096,manus
19,UBERON:UBERON_0002416,56,0.2632518883199237,59879,integumental system
20,UBERON:UBERON_2000098,54,0.33856630319189834,44502,proliferative region
21,UBERON:UBERON_0007023,52,0.15766938620008242,73350,adult organism
22,UBERON:UBERON_0000062,48,0.1813655052476415,59818,organ
23,UBERON:UBERON_0004704,47,0.2620251548522512,43468,bone fossa
24,UBERON:UBERON_0000456,46,0.3497529538480264,30381,secretion of exocrine gland
25,UBERON:UBERON_0034754,44,0.22260046637648453,44332,occipitofrontal fasciculus
26,UBERON:UBERON_0000033,43,0.14016691137667572,58406,head
27,UBERON:UBERON_0000956,42,0.3345375214266832,26122,cerebral cortex
28,UBERON:UBERON_0002316,42,0.3187854594945567,27800,white matter
29,UBERON:UBERON_0027368,41,0.2033750472889334,41992,matrix compartment
30,UBERON:UBERON_0002689,40,0.18008359230173604,44206,supraoptic crest
31,UBERON:UBERON_0002107,40,0.2026142203175445,40260,liver
32,UBERON:UBERON_0000120,40,0.2910783346212245,27889,blood brain barrier
33,UBERON:UBERON_0001137,39,0.2111852858669896,37040,dorsum
34,UBERON:UBERON_0001130,38,0.20143660841384164,36780,vertebral column
35,UBERON:UBERON_0001093,37,0.2323691858333184,30439,vertebral bone 2
36,UBERON:UBERON_0003101,36,0.0520440266730158,66080,male organism
37,UBERON:UBERON_0003100,36,0.09804178680759457,53451,female organism
38,UBERON:UBERON_0002020,36,0.3597307203629342,15992,gray matter
39,UBERON:UBERON_0001630,36,0.18262229933933616,36189,muscle organ
40,UBERON:UBERON_0001950,33,0.3734778021095676,11765,neocortex
41,UBERON:UBERON_0001021,33,0.17892078548630688,31306,nerve
42,UBERON:UBERON_0002405,32,0.2014343818368062,26262,immune system
43,UBERON:UBERON_0002240,31,0.1383025356995674,34492,spinal cord
44,UBERON:UBERON_0000454,31,0.283744925549639,15830,cerebral subcortex
45,UBERON:UBERON_0007361,31,0.3110320539094432,13678,ruminant reticulum
46,UBERON:UBERON_0003882,29,0.2428375783042356,16854,CA2 field of hippocampus
47,UBERON:UBERON_0003881,29,0.33106876521685225,10171,CA1 field of hippocampus
48,UBERON:UBERON_0001456,29,0.17462810807601134,24904,face
49,UBERON:UBERON_0004200,28,0.2844546458366186,12099,kidney pyramid
50,UBERON:UBERON_0001013,28,0.2064573939160725,19212,adipose tissue
51,UBERON:UBERON_0002298,27,0.18206779203279028,20569,brainstem
52,UBERON:UBERON_0014899,26,-0.03684985955506605,76761,anterolateral ligament of knee
53,UBERON:UBERON_2000106,26,0.14165095267569686,24558,extension
54,UBERON:UBERON_0000014,25,0.06786867704647995,37172,zone of skin
55,UBERON:UBERON_0001885,25,0.2853371949891683,8772,dentate gyrus of hippocampal formation
56,UBERON:UBERON_0000353,25,0.23693468634126635,12097,parenchyma
57,UBERON:UBERON_0011306,24,0.3511556420472835,4936,deep part of temporalis
58,UBERON:UBERON_0001940,24,0.14969871789452674,19885,supramammillary nucleus
59,UBERON:UBERON_0000045,24,0.1294969138621455,22867,ganglion
60,UBERON:UBERON_0035973,24,0.028255939716278333,46060,nucleus incertus
61,UBERON:UBERON_0000310,24,0.16620957184433666,17739,breast
62,UBERON:UBERON_0000055,23,0.1998071961348644,12689,vessel
63,UBERON:UBERON_0001871,23,0.20970692368416494,11814,temporal lobe
64,UBERON:UBERON_0000914,23,0.11318844466354908,23710,organismal segment
65,UBERON:UBERON_0016538,23,0.3051835865073844,5931,temporal cortex
66,UBERON:UBERON_0007358,22,0.0936010595362178,25333,abomasum
67,UBERON:UBERON_0002038,21,0.2147604659414665,8973,substantia nigra
68,UBERON:UBERON_0000025,21,0.07774965159125788,26503,tube
69,UBERON:UBERON_0004537,21,0.16617897461644124,13174,blood vasculature
70,UBERON:UBERON_0001898,20,0.15968238329620707,12400,hypothalamus
71,UBERON:UBERON_0001876,20,0.17412721619211208,10999,amygdala
72,UBERON:UBERON_0000345,20,0.14233772198036265,14320,myelin
73,UBERON:UBERON_0001982,19,0.13470038133279566,13666,capillary
74,UBERON:UBERON_0011167,19,0.2275889080463885,6070,septomaxilla bone
75,UBERON:UBERON_0001637,19,0.1323297455174179,13952,artery
76,UBERON:UBERON_0000966,19,0.12494383181645123,14882,retina
77,UBERON:UBERON_0008338,18,0.16274029756803826,9364,plantar part of pes
78,UBERON:UBERON_0002048,18,0.01808541453830861,35549,lung
79,UBERON:UBERON_0002049,18,0.16202471311194336,9426,vasculature
80,UBERON:UBERON_0035946,18,0.056880036357334615,24857,start of neonate stage
81,UBERON:UBERON_0001869,18,0.07009482340286335,22005,cerebral hemisphere
82,UBERON:UBERON_0000913,18,0.30528725798602196,2515,interstitial fluid
83,UBERON:UBERON_0002160,18,0.19063502153284967,7240,nucleus prepositus
84,UBERON:UBERON_0002113,18,0.058152541375900035,24567,kidney
85,UBERON:UBERON_0002606,17,0.2610233953855915,3101,neuropil
86,UBERON:UBERON_0000483,17,0.07381676389798363,19293,epithelium
87,UBERON:UBERON_0001894,17,0.06737274605132691,20546,diencephalon
88,UBERON:UBERON_0001897,17,0.08740298245851821,16896,dorsal plus ventral thalamus
89,UBERON:UBERON_0000982,17,0.060888377397543325,21889,skeletal joint
90,UBERON:UBERON_0000941,17,0.10229034143406718,14610,cranial nerve II
91,UBERON:UBERON_0001092,17,0.12596051213248238,11595,vertebral bone 1
92,UBERON:UBERON_0016530,17,0.20482807663638566,5368,parietal cortex
93,UBERON:UBERON_0016525,17,0.12699020946748418,11479,frontal lobe
94,UBERON:UBERON_2002283,16,0.11567913155543877,11243,melanophore spot
95,UBERON:UBERON_0000451,16,0.0900677590579167,14665,prefrontal cortex
96,UBERON:UBERON_0008915,16,0.13026593363497266,9664,pore
97,UBERON:UBERON_0003883,16,0.1855632719296748,5445,CA3 field of hippocampus
98,UBERON:UBERON_2001840,15,0.07532137737936151,15208,tip
99,UBERON:UBERON_0002488,15,0.16237980328095702,5803,helix of outer ear
100,UBERON:UBERON_0004852,15,0.09018735124470444,12901,cardiovascular system endothelium
101,UBERON:UBERON_0035971,15,-0.009916838425445116,39061,postsubiculum
102,UBERON:UBERON_0004907,15,0.0910742209724061,12775,lower digestive tract
103,UBERON:UBERON_0002389,15,0.11415800624667467,9895,manual digit
104,UBERON:UBERON_0001384,14,0.10670590976056896,9218,primary motor cortex
105,UBERON:UBERON_0001155,14,0.1109077051268289,8770,colon
106,UBERON:UBERON_0002421,14,0.1869442573032273,3560,hippocampal formation
107,UBERON:UBERON_0001891,14,0.08486361254712545,11943,midbrain
108,UBERON:UBERON_0002371,14,0.05717624752145894,16584,bone marrow
109,UBERON:UBERON_0002367,14,0.1136244019678117,8492,prostate gland
110,UBERON:UBERON_0002046,13,0.09778267513798687,8703,thyroid gland
111,UBERON:UBERON_0000002,13,0.050375585505263575,15943,uterine cervix
112,UBERON:UBERON_0013761,13,0.05080410652868979,15856,cervical cavity
113,UBERON:UBERON_0010743,13,-0.09365078426010054,100296,meningeal cluster
114,UBERON:UBERON_0001088,13,0.041269044910854764,17909,urine
115,UBERON:UBERON_6003624,13,0.09799893555297784,8679,adult brain
116,UBERON:UBERON_0002756,13,0.11476888777302945,7006,anterior cingulate gyrus
117,UBERON:UBERON_0035564,12,0.2085995840070491,1563,parvocellular superficial pretectal nucleus
118,UBERON:UBERON_0003062,12,0.08811143640869076,8276,primitive knot
119,UBERON:UBERON_0025595,12,0.20014169790351027,1757,cholinergic system
120,UBERON:UBERON_0002106,12,0.06292236373456593,11726,spleen
121,UBERON:UBERON_0000160,12,0.05275961096095313,13496,intestine
122,UBERON:UBERON_0003129,11,0.0345004894684648,15250,skull
123,UBERON:UBERON_0002264,11,0.11243921969152533,4704,olfactory bulb
124,UBERON:UBERON_0001638,11,0.07247367461769756,8598,vein
125,UBERON:UBERON_0005396,11,0.07644378007013929,8098,carotid artery segment
126,UBERON:UBERON_0005409,11,0.07292995681429291,8539,alimentary part of gastrointestinal system
127,UBERON:UBERON_0002336,11,0.07610912794914962,8139,corpus callosum
128,UBERON:UBERON_0013694,11,0.1202811082363206,4179,brain endothelium
129,UBERON:UBERON_0000119,11,0.10450922047480488,5302,cell layer
130,UBERON:UBERON_0001690,11,0.08078920102935455,7584,ear
131,UBERON:UBERON_0002191,10,0.1727103806059936,1327,subiculum
132,UBERON:UBERON_0013196,10,0.21055567823481816,708,strand of wool
133,UBERON:UBERON_0002022,10,0.08042700790665742,6140,insula
134,UBERON:UBERON_0000007,10,0.059253373416153415,8726,pituitary gland
135,UBERON:UBERON_0001872,10,0.10750524209191988,3917,parietal lobe
136,UBERON:UBERON_0010750,10,0.05942621155576368,8701,prefrontal bone
137,UBERON:UBERON_0002387,10,0.022771812506402474,15989,pes
138,UBERON:UBERON_0002148,10,0.12553156484620573,2904,locus ceruleus
139,UBERON:UBERON_0002769,10,0.14440258377641238,2123,superior temporal gyrus
140,UBERON:UBERON_0000411,9,0.07195432249586091,5570,visual cortex
141,UBERON:UBERON_0002813,9,0.06393431306470418,6458,right cerebral hemisphere
142,UBERON:UBERON_0001970,9,0.0914452954239874,3888,bile
143,UBERON:UBERON_0023939,9,0.09892452924846347,3387,obsolete brain of rodent
144,UBERON:UBERON_0004237,9,0.09366550887289016,3732,blood vessel smooth muscle
145,UBERON:UBERON_0002285,9,0.07617326141958349,5153,telencephalic ventricle
146,UBERON:UBERON_0014895,9,0.04522729927230052,9119,somatic muscle
147,UBERON:UBERON_0014402,9,0.0817886344013957,4646,sex-specific anatomical structure
148,UBERON:UBERON_0000467,9,0.0241011922154765,13464,anatomical system
149,UBERON:UBERON_0001888,9,0.059572695689150724,6999,lateral olfactory stria
150,UBERON:UBERON_0001627,9,0.034853116656680526,11042,middle cerebral artery
151,UBERON:UBERON_0005350,9,0.04675888291584399,8865,lobule simplex
152,UBERON:UBERON_0003026,9,0.11006277714111838,2758,limitans nucleus
153,UBERON:UBERON_0002369,9,0.0626812157311494,6609,adrenal gland
154,UBERON:UBERON_0013424,9,0.06639894533563419,6171,anatomical point connecting sagittal and lambdoidal sutures
155,UBERON:UBERON_0003714,8,0.051929041805009034,6355,neural tissue
156,UBERON:UBERON_0000200,8,0.05427544603305082,6053,gyrus
157,UBERON:UBERON_0001965,8,0.08475330943511494,3216,substantia nigra pars compacta
158,UBERON:UBERON_3010394,8,0.08148032888221722,3442,mesonephric late proximal tubule
159,UBERON:UBERON_0001322,8,0.08816826296098225,2996,sciatic nerve
160,UBERON:UBERON_0025534,8,0.030687383677502133,9875,sensorimotor system
161,UBERON:UBERON_0001886,8,0.07319102020211814,4088,choroid plexus
162,UBERON:UBERON_2001977,8,0.046920485366672336,7051,pad
163,UBERON:UBERON_0001874,8,0.056624788837317225,5765,putamen
164,UBERON:UBERON_0007798,8,0.10610309858710162,2065,vascular system
165,UBERON:UBERON_0027239,8,0.09328879248709314,2694,dopaminergic system
166,UBERON:UBERON_0002391,8,0.03886390308892016,8334,lymph
167,UBERON:UBERON_0000174,8,0.04653246321941927,7108,excreta
168,UBERON:UBERON_0001005,8,0.028572509844476943,10318,respiratory airway
169,UBERON:UBERON_0002812,7,0.044018377332376527,5751,left cerebral hemisphere
170,UBERON:UBERON_0001945,7,0.1067560466414252,1299,superior colliculus
171,UBERON:UBERON_0008339,7,0.05150912403340482,4815,microvascular endothelium
172,UBERON:UBERON_0001954,7,0.11736755777303402,1010,Ammon's horn
173,UBERON:UBERON_0006134,7,0.06628149928185678,3392,nerve fiber
174,UBERON:UBERON_0001913,7,0.003292526616654875,15107,milk
175,UBERON:UBERON_2000092,7,0.014391544781817709,11611,obsolete axis
176,UBERON:UBERON_0002034,7,0.10695127233595048,1293,suprachiasmatic nucleus
177,UBERON:UBERON_2002210,7,0.0934247747165994,1782,mossy fiber
178,UBERON:UBERON_0002436,7,0.08519573413400137,2166,primary visual cortex
179,UBERON:UBERON_2000006,7,0.06567669890715916,3441,ball
180,UBERON:UBERON_0006093,7,0.06898974468028178,3181,precuneus cortex
181,UBERON:UBERON_0014930,7,0.0820637467169926,2333,perivascular space
182,UBERON:UBERON_0001836,7,0.04851754326987053,5169,saliva
183,UBERON:UBERON_0035015,7,0.09925214430101584,1552,association cortex
184,UBERON:UBERON_0000922,7,0.04546541051934538,5557,embryo
185,UBERON:UBERON_0003251,7,0.07604383616917132,2691,temporal part of head
186,UBERON:UBERON_0016540,7,0.06977921778098277,3122,occipital cortex
187,UBERON:UBERON_0001049,7,0.09426124510983366,1747,neural tube
188,UBERON:UBERON_0002372,7,0.0848467500067302,2184,tonsil
189,UBERON:UBERON_0006967,7,0.07003663378332603,3103,horn
190,UBERON:UBERON_0002129,7,0.07945309698083683,2482,cerebellar cortex
191,UBERON:UBERON_0001464,7,0.03895966071796274,6484,hip
192,UBERON:UBERON_0002771,7,0.09421299719301547,1749,middle temporal gyrus
193,UBERON:UBERON_0002766,7,0.1031491577628278,1415,fusiform gyrus
194,UBERON:UBERON_0002619,6,0.09404066258674254,1038,obsolete regional part of cerebral cortex
195,UBERON:UBERON_0010230,6,0.051283650826039716,3388,eyeball of camera-type eye
196,UBERON:UBERON_0001987,6,0.040222184763984654,4601,placenta
197,UBERON:UBERON_0001988,6,0.014153939384367034,9464,feces
198,UBERON:UBERON_0002261,6,0.049840603578357665,3526,dorsal root of spinal cord
199,UBERON:UBERON_0016634,6,0.05110274132682281,3405,premotor cortex
200,UBERON:UBERON_0000061,6,0.10731257967125292,719,anatomical structure
201,UBERON:UBERON_0004879,6,0.0279507233156944,6461,marginal zone of embryo
202,UBERON:UBERON_0001103,6,0.07319217384665354,1848,diaphragm
203,UBERON:UBERON_0000004,6,0.02377627072593864,7252,nose
204,UBERON:UBERON_3010224,6,0.05000499080117346,3510,obsolete vertebral
205,UBERON:UBERON_0001882,6,0.04689863791680992,3825,nucleus accumbens
206,UBERON:UBERON_0002973,6,0.07329010015503208,1843,parahippocampal gyrus
207,UBERON:UBERON_0001893,6,0.08119409329004501,1481,telencephalon
208,UBERON:UBERON_0002740,6,0.1002151388771601,875,posterior cingulate gyrus
209,UBERON:UBERON_0001621,6,0.02832749634961171,6394,coronary artery
210,UBERON:UBERON_0001634,6,0.07842321743825625,1599,mesencephalic artery
211,UBERON:UBERON_0000974,6,-0.004741666071280783,15963,neck
212,UBERON:UBERON_0000988,6,0.03255646110154098,5688,pons
213,UBERON:UBERON_0001833,6,0.05657022079278885,2927,lip
214,UBERON:UBERON_0000965,6,0.028147055022285785,6426,lens of camera-type eye
215,UBERON:UBERON_0004086,6,0.08146355598263598,1470,brain ventricle
216,UBERON:UBERON_0002190,6,0.1258096857297095,431,subcutaneous adipose tissue
217,UBERON:UBERON_0003481,6,0.054893265151588586,3066,tail vein
218,UBERON:UBERON_0034931,6,0.09428523775694278,1031,perforant path
219,UBERON:UBERON_6003623,6,0.07985258982242584,1537,adult central nervous system
220,UBERON:UBERON_0002384,6,0.0408322008936036,4524,connective tissue
221,UBERON:UBERON_0000170,6,0.005863119453717021,11904,pair of lungs
222,UBERON:UBERON_0002363,6,0.021375708660662098,7750,dura mater
223,UBERON:UBERON_0002120,6,0.07691789804367168,1667,pronephros
224,UBERON:UBERON_0002103,6,0.03890320284606881,4772,hindlimb
225,UBERON:UBERON_0003893,6,0.01970783232578332,8116,capsule
226,UBERON:UBERON_0003655,6,0.048403673648328746,3669,molar tooth
227,UBERON:UBERON_0003876,6,0.05696755440790175,2895,hippocampal field
228,UBERON:UBERON_0001423,6,0.0401907751784206,4605,radius bone
229,UBERON:UBERON_0000344,6,0.031914041857542284,5790,mucosa
230,UBERON:UBERON_0001769,5,0.03811056054321674,3292,iris
231,UBERON:UBERON_0010210,5,0.036681087940615587,3452,blood clot
232,UBERON:UBERON_0000403,5,0.013595621466263556,7429,scalp
233,UBERON:UBERON_0036007,5,0.046076297121794035,2527,A13 dopaminergic cell group
234,UBERON:UBERON_0001906,5,0.0446220427869278,2652,subthalamic nucleus
235,UBERON:UBERON_0001915,5,0.05081688979870328,2159,endothelium of capillary
236,UBERON:UBERON_0006314,5,0.0614070382299995,1519,bodily fluid
237,UBERON:UBERON_0008982,5,0.05297081839694683,2010,fascia
238,UBERON:UBERON_0002021,5,0.03915315349570885,3180,occipital lobe
239,UBERON:UBERON_0001154,5,0.017600859054340647,6504,vermiform appendix
240,UBERON:UBERON_1000019,5,0.050802941902215216,2160,top of head
241,UBERON:UBERON_0005725,5,0.07707224754261358,903,olfactory system
242,UBERON:UBERON_0002211,5,0.05624439604302527,1803,nerve root
243,UBERON:UBERON_0000044,5,0.05563253979604593,1840,dorsal root ganglion
244,UBERON:UBERON_0000013,5,0.05427228690089975,1925,sympathetic nervous system
245,UBERON:UBERON_0008199,5,0.016110112625196356,6834,chin
246,UBERON:UBERON_0010010,5,0.08461338192834612,703,basal nucleus of telencephalon
247,UBERON:UBERON_0003978,5,0.043094105331817616,2790,valve
248,UBERON:UBERON_0002883,5,0.08250387963324697,754,central amygdaloid nucleus
249,UBERON:UBERON_0002743,5,0.045091343467850216,2611,basal forebrain
250,UBERON:UBERON_0002967,5,0.05292589596963749,2013,cingulate gyrus
251,UBERON:UBERON_0001873,5,0.030374582554526373,4256,caudate nucleus
252,UBERON:UBERON_0023879,5,0.035001166423349966,3650,neural system
253,UBERON:UBERON_0000992,5,0.032874693920660385,3917,ovary
254,UBERON:UBERON_0002707,5,0.04219015718675618,2875,corticospinal tract
255,UBERON:UBERON_0004050,5,0.05410065975889259,1936,subarachnoid cistern
256,UBERON:UBERON_0005383,5,0.06661052821970713,1278,caudate-putamen
257,UBERON:UBERON_0000945,5,0.02566080099316873,4977,stomach
258,UBERON:UBERON_0005372,5,0.07664171105896464,916,hippocampus stratum radiatum
259,UBERON:UBERON_0002080,5,0.07889412115504198,850,heart right ventricle
260,UBERON:UBERON_0002084,5,0.0511959453778922,2132,heart left ventricle
261,UBERON:UBERON_0008967,5,0.05457105685595207,1906,centrum semiovale
262,UBERON:UBERON_0001091,5,0.04006669384012855,3085,calcareous tooth
263,UBERON:UBERON_0002385,5,0.06164593292786929,1507,muscle tissue
264,UBERON:UBERON_0035803,5,0.07179263346716946,1076,extrapyramidal tract system
265,UBERON:UBERON_0034729,5,0.06820765075911134,1212,sympathetic nerve
266,UBERON:UBERON_0002108,5,0.0315581941192843,4092,small intestine
267,UBERON:UBERON_0002349,5,0.035067256371813335,3642,myocardium
268,UBERON:UBERON_0002104,5,0.04677568320742701,2469,visual system
269,UBERON:UBERON_0001443,5,-0.013952367568255944,18541,chest
270,UBERON:UBERON_0002530,5,0.04134309192708672,2957,gland
271,UBERON:UBERON_0002751,5,0.06997317795292005,1143,inferior temporal gyrus
272,UBERON:UBERON_0001675,5,0.05926423401237176,1631,trigeminal ganglion
273,UBERON:UBERON_0022353,5,0.05070548705709027,2167,posterior cingulate cortex
274,UBERON:UBERON_0013755,4,0.01162259529814633,5762,arterial blood
275,UBERON:UBERON_0002617,4,0.061973402412126524,713,pars postrema of ventral lateral nucleus
276,UBERON:UBERON_0001771,4,0.02042959290258316,3998,pupil
277,UBERON:UBERON_0001981,4,0.018170249396526002,4391,blood vessel
278,UBERON:UBERON_0035574,4,0.040213900621204536,1759,ventral pretectal periventricular nucleus
279,UBERON:UBERON_0001997,4,0.0587811386630122,814,olfactory epithelium
280,UBERON:UBERON_0001968,4,0.026219914866709618,3144,semen
281,UBERON:UBERON_0001723,4,0.019893168400819426,4088,tongue
282,UBERON:UBERON_0010415,4,0.05726117213824108,867,barrel cortex
283,UBERON:UBERON_0001908,4,0.03741078896890923,1976,optic tract
284,UBERON:UBERON_0006107,4,0.05074961496955301,1136,basolateral amygdaloid nuclear complex
285,UBERON:UBERON_0004167,4,0.02688822250671178,3058,orbitofrontal cortex
286,UBERON:UBERON_0008979,4,0.043292977502840335,1548,carcass
287,UBERON:UBERON_0004454,4,0.021077088607509658,3892,tarsal region
288,UBERON:UBERON_0004452,4,0.02733358092347324,3002,carpal region
289,UBERON:UBERON_0002286,4,0.03786626422349144,1939,third ventricle
290,UBERON:UBERON_0002256,4,0.036024672242687884,2093,dorsal horn of spinal cord
291,UBERON:UBERON_0003118,4,0.08204350175996035,310,pharyngeal arch artery 1
292,UBERON:UBERON_0000058,4,0.04117816415904644,1690,duct
293,UBERON:UBERON_0005974,4,0.05187866116910735,1084,posterior cerebellomedullary cistern
294,UBERON:UBERON_0002437,4,0.031417427943047284,2534,cerebral hemisphere white matter
295,UBERON:UBERON_0001348,4,0.034681283866662575,2213,brown adipose tissue
296,UBERON:UBERON_0034889,4,0.04393979329857955,1507,posterior parietal cortex
297,UBERON:UBERON_0000020,4,0.07242922239604356,462,sense organ
298,UBERON:UBERON_0013531,4,0.0655362735593019,615,retrosplenial region
299,UBERON:UBERON_0013533,4,0.08493027765905965,275,Brodmann (1909) area 2
300,UBERON:UBERON_0001782,4,0.03834318742238837,1901,pigmented layer of retina
301,UBERON:UBERON_0000315,4,0.01938573453572507,4175,subarachnoid space
302,UBERON:UBERON_0002974,4,0.09694900742411547,167,molecular layer of cerebellar cortex
303,UBERON:UBERON_0001899,4,0.08053698713390411,330,epithalamus
304,UBERON:UBERON_0002726,4,0.030668451236948894,2614,cervical spinal cord
305,UBERON:UBERON_0001875,4,0.02476990314635884,3339,globus pallidus
306,UBERON:UBERON_3011120,4,0.014469106083951638,5120,early proximal tubule
307,UBERON:UBERON_0011639,4,0.03408973387156395,2268,frontoparietal bone
308,UBERON:UBERON_0007113,4,0.05495696262817494,954,venom
309,UBERON:UBERON_0018229,4,0.05183424385599195,1086,renin-angiotensin system
310,UBERON:UBERON_0005386,4,0.07495644241581406,416,olfactory segment of nasal mucosa
311,UBERON:UBERON_0000947,4,0.031115037960047345,2566,aorta
312,UBERON:UBERON_0005158,4,0.0539672388882162,994,parenchyma of central nervous system
313,UBERON:UBERON_0008878,4,0.038495777181109324,1889,palmar part of manus
314,UBERON:UBERON_0007639,4,0.08976571610393076,225,hippocampus alveus
315,UBERON:UBERON_0008933,4,0.027591816595681957,2970,primary somatosensory cortex
316,UBERON:UBERON_0001277,4,0.02506761728669885,3298,intestinal epithelium
317,UBERON:UBERON_0003210,4,0.04473630621563719,1458,blood-cerebrospinal fluid barrier
318,UBERON:UBERON_0001008,4,0.002551010592217418,8396,renal system
319,UBERON:UBERON_0002576,4,0.047648938221084326,1292,temporal pole
320,UBERON:UBERON_0000391,4,0.0438918720652669,1510,leptomeninx
321,UBERON:UBERON_0001019,4,0.04590453681357115,1389,nerve fasciculus
322,UBERON:UBERON_0003674,4,0.04185779524048864,1643,cuspid
323,UBERON:UBERON_0002342,4,0.04581795251077295,1394,neural crest
324,UBERON:UBERON_0034751,4,0.057205650488003724,869,primary auditory cortex
325,UBERON:UBERON_0001465,4,0.01092194981348732,5932,knee
326,UBERON:UBERON_0002310,4,0.03999570888212122,1775,hippocampus fimbria
327,UBERON:UBERON_0002792,4,0.04625401916214693,1369,lumbar spinal cord
328,UBERON:UBERON_0001474,4,0.018329919849541496,4362,bone element
329,UBERON:UBERON_0004725,4,0.05216938674866983,1071,piriform cortex
330,UBERON:UBERON_0013406,4,0.009058291301525773,6409,bregma
331,UBERON:UBERON_0013756,3,0.01227095178788501,3550,venous blood
332,UBERON:UBERON_0003942,3,0.04498092996169616,581,somatic sensory system
333,UBERON:UBERON_0019285,3,0.05177230357546811,399,rhombomere 10
