,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
224,UBERON:UBERON_0000381,1,0.020231647614870597,742,urinary bladder detrusor smooth muscle
225,UBERON:UBERON_2002283,1,-0.0106564404372019,11243,melanophore spot
226,UBERON:UBERON_0013554,1,0.03918286148484873,140,Brodmann (1909) area 23
227,UBERON:UBERON_0002417,1,0.013582924797450659,1332,abdominal segment of trunk
228,UBERON:UBERON_0000916,1,-0.003257755269184347,5863,abdomen
229,UBERON:UBERON_0004717,1,0.056315307145350525,31,Brodmann (1909) area 29
230,UBERON:UBERON_0000475,1,0.012316752279454356,1489,organism subdivision
231,UBERON:UBERON_0002772,1,0.03886273788295445,144,olfactory sulcus
232,UBERON:UBERON_0002651,1,0.03369072972493852,227,anterior horn of lateral ventricle
233,UBERON:UBERON_0002771,1,0.01048789498019762,1749,middle temporal gyrus
234,UBERON:UBERON_0025534,1,-0.009182129051060568,9875,sensorimotor system
235,UBERON:UBERON_0002899,1,-0.005723877358767115,7284,hippocampal sulcus
236,UBERON:UBERON_0008199,1,-0.004999218174991414,6834,chin
237,UBERON:UBERON_2000092,1,-0.011022431481261521,11611,obsolete axis
238,UBERON:UBERON_0000922,1,-0.0026486300000446448,5557,embryo
239,UBERON:UBERON_0000007,1,-0.007776455913722302,8726,pituitary gland
240,UBERON:UBERON_0022250,1,0.0430064096282716,100,subcallosal fasciculus
241,UBERON:UBERON_0000002,1,-0.0146254648537656,15943,uterine cervix
242,UBERON:UBERON_0000120,1,-0.020980152176789973,27889,blood brain barrier
243,UBERON:UBERON_0002661,1,0.011163824122801995,1648,superior frontal gyrus
244,UBERON:UBERON_0000126,1,0.034738811818302545,207,cranial nerve nucleus
245,UBERON:UBERON_0025525,1,0.00503139631343639,2827,motor system
246,UBERON:UBERON_0008885,1,0.027253064615545573,400,right putamen
247,UBERON:UBERON_0013535,1,0.03512973712190859,200,Brodmann (1909) area 4
248,UBERON:UBERON_0001421,1,0.03571261546722167,190,pectoral girdle region
249,UBERON:UBERON_0035526,1,0.0500085248489968,54,superficial fibular nerve
250,UBERON:UBERON_0002633,1,0.026169994390496432,440,motor nucleus of trigeminal nerve
251,UBERON:UBERON_0001785,1,-0.003852450456846981,6178,cranial nerve
252,UBERON:UBERON_0003040,1,0.010704351741228241,1716,central gray substance of midbrain
253,UBERON:UBERON_0022246,1,0.01788743458183706,912,superior longitudinal fasciculus
254,UBERON:UBERON_0003044,1,0.020636978026310763,716,uncinate fasciculus
255,UBERON:UBERON_0006792,1,0.030112969557917712,311,intermediate layer of superior colliculus
256,UBERON:UBERON_0013761,1,-0.0145632843556111,15856,cervical cavity
257,UBERON:UBERON_2002291,1,0.03559362342327513,192,fulcrum
258,UBERON:UBERON_0002405,1,-0.020297091740260887,26262,immune system
259,UBERON:UBERON_0009835,1,0.02581405721857551,454,anterior cingulate cortex
260,UBERON:UBERON_0001556,1,0.017175088238462134,971,lower urinary tract
261,UBERON:UBERON_0000467,1,-0.012705005711302834,13464,anatomical system
262,UBERON:UBERON_0000345,1,-0.013405434173166407,14320,myelin
263,UBERON:UBERON_0022353,1,0.008052673087950383,2167,posterior cingulate cortex
